Choice,SpecificAge,Pair,Response ID,__source_file,TimeMainQuestion,GenderIdentification,Age,Group,SustainableChoice,AttentionCheck,Last page
Hotel A,128.0,HPair_1,8,results-survey511.csv,38.29,Male,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel A,131.0,HPair_1,9,results-survey511.csv,149.58,Male,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel B,129.0,HPair_1,5,results-survey512.csv,76.81,Female,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel A,134.0,HPair_1,6,results-survey512.csv,38.88,Male,25 – 34 years old,Salience,No,Yes,6.0
Hotel B,130.0,HPair_1,7,results-survey512.csv,171.17,Male,25 – 34 years old,Salience,Yes,Yes,6.0
Hotel B,151.0,HPair_1,9,results-survey512.csv,96.73,Female,45 – 54 years old,Salience,Yes,Yes,6.0
Hotel B,140.0,HPair_1,10,results-survey512.csv,78.18,Female,35 – 44 years old,Salience,Yes,Yes,6.0
Hotel A,130.0,HPair_2,7,results-survey221.csv,54.52,Female,25 – 34 years old,Framing,Yes,Yes,6.0
Hotel B,162.0,HPair_2,8,results-survey221.csv,25.68,Female,55 – 64 years old,Framing,No,Yes,6.0
Hotel A,139.0,HPair_2,9,results-survey221.csv,31.05,Male,35 – 44 years old,Framing,Yes,Yes,6.0
Hotel B,153.0,HPair_2,10,results-survey221.csv,94.59,Male,45 – 54 years old,Framing,No,Yes,6.0
Hotel A,127.0,HPair_2,11,results-survey221.csv,105.92,Male,25 – 34 years old,Framing,Yes,Yes,6.0
Hotel B,121.0,HPair_2,5,results-survey2220.csv,106.44,Male,18 – 24 years old,Framing,Yes,Yes,6.0
Hotel B,132.0,HPair_2,6,results-survey2220.csv,121.74,Female,25 – 34 years old,Framing,Yes,Yes,6.0
Hotel B,151.0,HPair_2,7,results-survey2220.csv,32.97,Female,45 – 54 years old,Framing,Yes,Yes,6.0
Hotel B,125.0,HPair_2,8,results-survey2220.csv,64.7,Female,25 – 34 years old,Framing,Yes,Yes,6.0
Hotel B,163.0,HPair_2,9,results-survey2220.csv,81.73,Male,55 – 64 years old,Framing,Yes,Yes,6.0
Hotel B,132.0,HPair_3,4,results-survey232.csv,95.19,Female,25 – 34 years old,Framing,Yes,Yes,6.0
Hotel A,145.0,HPair_3,5,results-survey232.csv,10.94,Male,45 – 54 years old,Framing,No,Yes,6.0
Hotel B,124.0,HPair_3,8,results-survey232.csv,48.36,Male,18 – 24 years old,Framing,Yes,Yes,6.0
Hotel B,150.0,HPair_3,9,results-survey232.csv,34.8,Male,45 – 54 years old,Framing,Yes,Yes,6.0
Hotel A,144.0,HPair_3,10,results-survey232.csv,44.23,Male,35 – 44 years old,Framing,No,Yes,6.0
Hotel B,127.0,HPair_3,5,results-survey231.csv,153.24,Female,25 – 34 years old,Framing,No,Yes,6.0
Hotel A,123.0,HPair_3,6,results-survey231.csv,139.94,Female,18 – 24 years old,Framing,Yes,Yes,6.0
Hotel A,124.0,HPair_3,7,results-survey231.csv,21.08,Female,45 – 54 years old,Framing,Yes,Yes,6.0
Hotel B,133.0,HPair_3,9,results-survey231.csv,150.47,Male,25 – 34 years old,Framing,No,Yes,6.0
Hotel A,154.0,HPair_3,10,results-survey231.csv,66.66,Female,45 – 54 years old,Framing,Yes,Yes,6.0
Hotel B,142.0,HPair_1,5,results-survey212.csv,44.63,Male,35 – 44 years old,Framing,Yes,Yes,6.0
Hotel A,139.0,HPair_1,7,results-survey212.csv,39.23,Female,35 – 44 years old,Framing,No,Yes,6.0
Hotel A,138.0,HPair_1,8,results-survey212.csv,481.12,Male,35 – 44 years old,Framing,No,Yes,6.0
Hotel B,120.0,HPair_1,9,results-survey212.csv,187.75,Female,18 – 24 years old,Framing,Yes,Yes,6.0
Hotel B,143.0,HPair_1,10,results-survey212.csv,96.02,Male,35 – 44 years old,Framing,Yes,Yes,6.0
Hotel A,126.0,HPair_1,5,results-survey211.csv,17.74,Female,25 – 34 years old,Framing,Yes,Yes,6.0
Hotel A,146.0,HPair_1,6,results-survey211.csv,35.31,Male,45 – 54 years old,Framing,Yes,Yes,6.0
Hotel A,158.0,HPair_1,7,results-survey211.csv,65.53,Male,55 – 64 years old,Framing,Yes,Yes,6.0
Hotel A,140.0,HPair_1,8,results-survey211.csv,44.36,Female,35 – 44 years old,Framing,Yes,Yes,6.0
Hotel A,121.0,HPair_1,9,results-survey211.csv,130.73,Male,18 – 24 years old,Framing,Yes,Yes,6.0
Hotel A,151.0,HPair_2,4,results-survey322.csv,27.23,Female,45 – 54 years old,Simplification,No,Yes,6.0
Hotel B,126.0,HPair_2,5,results-survey322.csv,76.21,Female,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel B,133.0,HPair_2,6,results-survey322.csv,45.67,Female,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel B,142.0,HPair_2,7,results-survey322.csv,45.83,Male,35 – 44 years old,Simplification,Yes,Yes,6.0
Hotel B,128.0,HPair_2,8,results-survey322.csv,137.77,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel B,139.0,HPair_2,4,results-survey321.csv,20.79,Female,35 – 44 years old,Simplification,No,Yes,6.0
Hotel B,126.0,HPair_2,5,results-survey321.csv,99.43,Female,25 – 34 years old,Simplification,No,Yes,6.0
Hotel A,144.0,HPair_2,6,results-survey321.csv,67.02,Male,35 – 44 years old,Simplification,Yes,Yes,6.0
Hotel B,133.0,HPair_2,7,results-survey321.csv,157.71,Female,25 – 34 years old,Simplification,No,Yes,6.0
Hotel B,140.0,HPair_2,8,results-survey321.csv,135.43,Male,35 – 44 years old,Simplification,No,Yes,6.0
Hotel A,125.0,HPair_3,4,results-survey331.csv,143.23,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel A,128.0,HPair_3,5,results-survey331.csv,31.75,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel A,146.0,HPair_3,6,results-survey331.csv,177.45,Male,45 – 54 years old,Simplification,Yes,Yes,6.0
Hotel A,127.0,HPair_3,7,results-survey331.csv,38.84,Female,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel B,147.0,HPair_3,8,results-survey331.csv,22.46,Male,45 – 54 years old,Simplification,No,Yes,6.0
Hotel A,141.0,HPair_3,4,results-survey332.csv,82.25,Female,35 – 44 years old,Simplification,No,Yes,6.0
Hotel B,128.0,HPair_3,5,results-survey332.csv,190.0,Female,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel B,135.0,HPair_3,6,results-survey332.csv,255.21,Male,35 – 44 years old,Simplification,Yes,Yes,6.0
Hotel B,133.0,HPair_3,7,results-survey332.csv,23.27,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel A,124.0,HPair_3,8,results-survey332.csv,13.02,Female,18 – 24 years old,Simplification,No,Yes,6.0
Hotel A,134.0,HPair_1,5,results-survey311.csv,115.58,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel B,152.0,HPair_1,6,results-survey311.csv,107.47,Female,45 – 54 years old,Simplification,No,Yes,6.0
Hotel A,128.0,HPair_1,7,results-survey311.csv,126.74,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel A,139.0,HPair_1,8,results-survey311.csv,185.82,Female,35 – 44 years old,Simplification,Yes,Yes,6.0
Hotel A,137.0,HPair_1,9,results-survey311.csv,35.49,Male,35 – 44 years old,Simplification,Yes,Yes,6.0
Hotel A,151.0,HPair_1,8,results-survey312.csv,237.52,Female,45 – 54 years old,Simplification,No,Yes,6.0
Hotel A,140.0,HPair_1,10,results-survey312.csv,56.67,Male,35 – 44 years old,Simplification,No,Yes,6.0
Hotel B,152.0,HPair_1,11,results-survey312.csv,140.87,Female,45 – 54 years old,Simplification,Yes,Yes,6.0
Hotel B,134.0,HPair_1,13,results-survey312.csv,327.5,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel B,132.0,HPair_1,15,results-survey312.csv,86.35,Male,25 – 34 years old,Simplification,Yes,Yes,6.0
Hotel A,137.0,HPair_2,14,results-survey121.csv,7.66,Male,35 – 44 years old,Control,Yes,Yes,5.0
Hotel A,148.0,HPair_2,15,results-survey121.csv,45.64,Female,45 – 54 years old,Control,Yes,Yes,5.0
Hotel A,153.0,HPair_2,16,results-survey121.csv,40.39,Male,45 – 54 years old,Control,Yes,Yes,5.0
Hotel B,133.0,HPair_2,17,results-survey121.csv,115.35,Female,25 – 34 years old,Control,No,Yes,5.0
Hotel B,136.0,HPair_2,18,results-survey121.csv,96.72,Male,35 – 44 years old,Control,No,Yes,5.0
Hotel A,125.0,HPair_2,14,results-survey122.csv,30.21,Female,45 – 54 years old,Control,No,Yes,5.0
Hotel B,135.0,HPair_2,15,results-survey122.csv,69.15,Male,35 – 44 years old,Control,Yes,Yes,5.0
Hotel A,122.0,HPair_2,16,results-survey122.csv,50.13,Female,18 – 24 years old,Control,No,Yes,5.0
Hotel B,135.0,HPair_2,17,results-survey122.csv,80.63,Male,35 – 44 years old,Control,Yes,Yes,5.0
Hotel A,151.0,HPair_2,18,results-survey122.csv,31.57,Male,45 – 54 years old,Control,No,Yes,5.0
Hotel A,132.0,HPair_3,14,results-survey132.csv,110.95,Female,25 – 34 years old,Control,No,Yes,5.0
Hotel B,144.0,HPair_3,15,results-survey132.csv,161.84,Male,35 – 44 years old,Control,Yes,Yes,5.0
Hotel A,131.0,HPair_3,16,results-survey132.csv,10.34,Female,25 – 34 years old,Control,No,Yes,5.0
Hotel A,157.0,HPair_3,17,results-survey132.csv,34.31,Male,55 – 64 years old,Control,No,Yes,5.0
Hotel B,132.0,HPair_3,18,results-survey132.csv,78.62,Female,25 – 34 years old,Control,Yes,Yes,5.0
Hotel A,149.0,HPair_3,21,results-survey131.csv,59.51,Female,45 – 54 years old,Control,Yes,Yes,5.0
Hotel B,122.0,HPair_3,22,results-survey131.csv,71.63,Female,18 – 24 years old,Control,No,Yes,5.0
Hotel B,134.0,HPair_3,23,results-survey131.csv,67.84,Male,25 – 34 years old,Control,No,Yes,5.0
Hotel A,135.0,HPair_3,24,results-survey131.csv,17.69,Male,35 – 44 years old,Control,Yes,Yes,5.0
Hotel A,154.0,HPair_3,25,results-survey131.csv,72.49,Female,45 – 54 years old,Control,Yes,Yes,5.0
Hotel A,132.0,HPair_1,16,results-survey112.csv,38.87,Male,25 – 34 years old,Control,No,Yes,5.0
Hotel A,127.0,HPair_1,17,results-survey112.csv,159.76,Female,25 – 34 years old,Control,No,Yes,5.0
Hotel A,129.0,HPair_1,18,results-survey112.csv,114.03,Male,25 – 34 years old,Control,No,Yes,5.0
Hotel B,131.0,HPair_1,19,results-survey112.csv,103.92,Male,25 – 34 years old,Control,Yes,Yes,5.0
Hotel A,137.0,HPair_1,20,results-survey112.csv,90.06,Male,35 – 44 years old,Control,No,Yes,5.0
Hotel B,149.0,HPair_1,17,results-survey111.csv,52.01,Female,45 – 54 years old,Control,No,Yes,5.0
Hotel B,156.0,HPair_1,18,results-survey111.csv,91.58,Male,55 – 64 years old,Control,No,Yes,5.0
Hotel A,156.0,HPair_1,20,results-survey111.csv,129.19,Female,55 – 64 years old,Control,Yes,Yes,5.0
Hotel B,138.0,HPair_1,21,results-survey111.csv,19.46,Male,35 – 44 years old,Control,No,Yes,5.0
Hotel B,164.0,HPair_1,22,results-survey111.csv,103.23,Male,55 – 64 years old,Control,No,Yes,5.0
Hotel A,156.0,HPair_2,5,results-survey421.csv,18.51,Male,55 – 64 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,129.0,HPair_2,6,results-survey421.csv,34.55,Female,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel B,133.0,HPair_2,7,results-survey421.csv,74.31,Male,25 – 34 years old,ExternalInformation,No,Yes,6.0
Hotel A,122.0,HPair_2,8,results-survey421.csv,51.53,Female,18 – 24 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,133.0,HPair_2,10,results-survey421.csv,13.58,Female,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel B,150.0,HPair_2,5,results-survey422.csv,132.61,Male,45 – 54 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,149.0,HPair_2,6,results-survey422.csv,73.62,Female,45 – 54 years old,ExternalInformation,No,Yes,6.0
Hotel B,163.0,HPair_2,7,results-survey422.csv,71.35,Male,55 – 64 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,136.0,HPair_2,8,results-survey422.csv,74.52,Female,35 – 44 years old,ExternalInformation,No,Yes,6.0
Hotel A,133.0,HPair_2,9,results-survey422.csv,111.03,Female,25 – 34 years old,ExternalInformation,No,Yes,6.0
Hotel A,135.0,HPair_3,4,results-survey432.csv,637.0,Female,25 – 34 years old,ExternalInformation,No,Yes,6.0
Hotel B,132.0,HPair_3,5,results-survey432.csv,49.33,Male,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel B,122.0,HPair_3,6,results-survey432.csv,61.4,Female,18 – 24 years old,ExternalInformation,Yes,Yes,6.0
Hotel B,154.0,HPair_3,7,results-survey432.csv,81.4,Female,45 – 54 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,142.0,HPair_3,8,results-survey432.csv,16.36,Female,35 – 44 years old,ExternalInformation,No,Yes,6.0
Hotel A,131.0,HPair_3,4,results-survey431.csv,127.02,Female,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,122.0,HPair_3,5,results-survey431.csv,142.61,Female,18 – 24 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,127.0,HPair_3,6,results-survey431.csv,16.23,Male,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,127.0,HPair_3,7,results-survey431.csv,177.55,Female,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,138.0,HPair_3,8,results-survey431.csv,131.4,Female,35 – 44 years old,ExternalInformation,Yes,Yes,6.0
Hotel B,129.0,HPair_1,5,results-survey412.csv,25.93,Male,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel B,152.0,HPair_1,6,results-survey412.csv,71.85,Female,45 – 54 years old,ExternalInformation,Yes,Yes,6.0
Hotel B,134.0,HPair_1,8,results-survey412.csv,79.49,Male,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,133.0,HPair_1,9,results-survey412.csv,34.61,Male,25 – 34 years old,ExternalInformation,No,Yes,6.0
Hotel A,122.0,HPair_1,10,results-survey412.csv,73.75,Female,18 – 24 years old,ExternalInformation,No,Yes,6.0
Hotel A,143.0,HPair_1,5,results-survey411.csv,37.72,Female,35 – 44 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,137.0,HPair_1,6,results-survey411.csv,113.02,Male,35 – 44 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,135.0,HPair_1,7,results-survey411.csv,238.18,Male,45 – 54 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,139.0,HPair_1,10,results-survey411.csv,115.05,Male,35 – 44 years old,ExternalInformation,Yes,Yes,6.0
Hotel A,130.0,HPair_1,11,results-survey411.csv,68.25,Female,25 – 34 years old,ExternalInformation,Yes,Yes,6.0
