GenderIdentification,Group,TimeMainQuestion,SpecificAge,Pair,Choice,Response ID,Last page,SustainableChoice,__source_file,AttentionCheck,Age
Female,Control,56.67,144.0,BPair_3,Backpack B,7,5.0,No,results-survey631.csv,Yes,45 – 54 years old
Female,Control,24.12,143.0,BPair_3,Backpack A,8,5.0,Yes,results-survey631.csv,Yes,35 – 44 years old
Male,Control,83.17,154.0,BPair_3,Backpack A,9,5.0,Yes,results-survey631.csv,Yes,45 – 54 years old
Male,Control,46.77,150.0,BPair_3,Backpack A,10,5.0,Yes,results-survey631.csv,Yes,45 – 54 years old
Female,Control,98.8,144.0,BPair_3,Backpack B,6,5.0,Yes,results-survey632.csv,Yes,65 – 74 years old
Male,Control,97.97,130.0,BPair_3,Backpack B,8,5.0,Yes,results-survey632.csv,Yes,25 – 34 years old
Female,Control,41.49,141.0,BPair_3,Backpack B,9,5.0,Yes,results-survey632.csv,Yes,35 – 44 years old
Male,Control,35.03,142.0,BPair_3,Backpack B,11,5.0,Yes,results-survey632.csv,Yes,35 – 44 years old
Male,Control,65.43,154.0,BPair_3,Backpack A,12,5.0,No,results-survey632.csv,Yes,45 – 54 years old
Male,Control,149.79,133.0,BPair_1,Backpack A,10,5.0,Yes,results-survey611.csv,Yes,25 – 34 years old
Male,Control,129.25,125.0,BPair_1,Backpack A,11,5.0,Yes,results-survey611.csv,Yes,25 – 34 years old
Other,Control,51.67,124.0,BPair_1,Backpack B,12,5.0,No,results-survey611.csv,Yes,18 – 24 years old
Male,Control,57.72,124.0,BPair_1,Backpack B,13,5.0,No,results-survey611.csv,Yes,18 – 24 years old
Female,Control,27.92,131.0,BPair_1,Backpack B,14,5.0,No,results-survey611.csv,Yes,25 – 34 years old
Male,Control,36.86,127.0,BPair_1,Backpack A,6,5.0,No,results-survey612.csv,Yes,25 – 34 years old
Female,Control,68.56,131.0,BPair_1,Backpack A,7,5.0,No,results-survey612.csv,Yes,25 – 34 years old
Male,Control,6.98,139.0,BPair_1,Backpack A,8,5.0,No,results-survey612.csv,Yes,35 – 44 years old
Female,Control,227.55,149.0,BPair_1,Backpack B,9,5.0,Yes,results-survey612.csv,Yes,45 – 54 years old
Female,Control,22.43,124.0,BPair_1,Backpack B,10,5.0,Yes,results-survey612.csv,Yes,18 – 24 years old
Female,Framing,57.68,144.0,BPair_2,Backpack B,8,6.0,No,results-survey721.csv,Yes,35 – 44 years old
Male,Framing,319.76,138.0,BPair_2,Backpack A,9,6.0,Yes,results-survey721.csv,Yes,35 – 44 years old
Female,Framing,95.25,134.0,BPair_2,Backpack A,10,6.0,Yes,results-survey721.csv,Yes,25 – 34 years old
Female,Framing,32.06,121.0,BPair_2,Backpack A,11,6.0,Yes,results-survey721.csv,Yes,18 – 24 years old
Male,Framing,148.68,142.0,BPair_2,Backpack A,12,6.0,Yes,results-survey721.csv,Yes,35 – 44 years old
Female,Framing,59.5,156.0,BPair_2,Backpack B,8,6.0,Yes,results-survey722.csv,Yes,55 – 64 years old
Male,Framing,31.46,149.0,BPair_2,Backpack B,9,6.0,Yes,results-survey722.csv,Yes,45 – 54 years old
Male,Framing,126.73,130.0,BPair_2,Backpack B,10,6.0,Yes,results-survey722.csv,Yes,25 – 34 years old
Female,Framing,30.49,143.0,BPair_2,Backpack A,11,6.0,No,results-survey722.csv,Yes,35 – 44 years old
Female,Framing,111.46,131.0,BPair_2,Backpack B,12,6.0,Yes,results-survey722.csv,Yes,25 – 34 years old
Female,Framing,155.47,151.0,BPair_3,Backpack B,9,6.0,Yes,results-survey732.csv,Yes,45 – 54 years old
Female,Framing,295.28,159.0,BPair_3,Backpack B,11,6.0,Yes,results-survey732.csv,Yes,55 – 64 years old
Male,Framing,171.94,133.0,BPair_3,Backpack B,12,6.0,Yes,results-survey732.csv,Yes,25 – 34 years old
Male,Framing,131.53,125.0,BPair_3,Backpack A,13,6.0,No,results-survey732.csv,Yes,25 – 34 years old
Male,Framing,31.39,128.0,BPair_3,Backpack B,14,6.0,Yes,results-survey732.csv,Yes,25 – 34 years old
Female,Framing,259.19,135.0,BPair_3,Backpack A,9,6.0,Yes,results-survey731.csv,Yes,35 – 44 years old
Male,Framing,35.1,118.0,BPair_3,Backpack B,10,6.0,No,results-survey731.csv,Yes,18 – 24 years old
Female,Framing,76.47,155.0,BPair_3,Backpack B,12,6.0,No,results-survey731.csv,Yes,55 – 64 years old
Male,Framing,76.01,131.0,BPair_3,Backpack A,13,6.0,Yes,results-survey731.csv,Yes,25 – 34 years old
Female,Framing,49.0,125.0,BPair_3,Backpack A,14,6.0,Yes,results-survey731.csv,Yes,25 – 34 years old
Female,Framing,20.92,126.0,BPair_1,Backpack B,8,6.0,Yes,results-survey712.csv,Yes,25 – 34 years old
Female,Framing,48.24,151.0,BPair_1,Backpack B,9,6.0,Yes,results-survey712.csv,Yes,45 – 54 years old
Female,Framing,86.45,161.0,BPair_1,Backpack B,10,6.0,Yes,results-survey712.csv,Yes,55 – 64 years old
Male,Framing,125.09,135.0,BPair_1,Backpack A,12,6.0,No,results-survey712.csv,Yes,35 – 44 years old
Female,Framing,134.11,137.0,BPair_1,Backpack B,13,6.0,Yes,results-survey712.csv,Yes,35 – 44 years old
Female,Framing,26.81,137.0,BPair_1,Backpack B,8,6.0,No,results-survey711.csv,Yes,55 – 64 years old
Male,Framing,49.3,119.0,BPair_1,Backpack B,10,6.0,No,results-survey711.csv,Yes,18 – 24 years old
Male,Framing,96.15,132.0,BPair_1,Backpack A,11,6.0,Yes,results-survey711.csv,Yes,25 – 34 years old
Female,Framing,201.35,131.0,BPair_1,Backpack A,12,6.0,Yes,results-survey711.csv,Yes,25 – 34 years old
Male,Framing,36.63,137.0,BPair_1,Backpack A,14,6.0,Yes,results-survey711.csv,Yes,35 – 44 years old
Female,Salience,43.88,125.0,BPair_2,Backpack B,9,6.0,Yes,results-survey1022.csv,Yes,25 – 34 years old
Female,Salience,69.54,149.0,BPair_2,Backpack B,10,6.0,Yes,results-survey1022.csv,Yes,45 – 54 years old
Male,Salience,170.09,135.0,BPair_2,Backpack A,11,6.0,No,results-survey1022.csv,Yes,35 – 44 years old
Male,Salience,30.43,141.0,BPair_2,Backpack B,12,6.0,Yes,results-survey1022.csv,Yes,35 – 44 years old
Male,Salience,29.0,135.0,BPair_2,Backpack A,13,6.0,No,results-survey1022.csv,Yes,35 – 44 years old
Female,Salience,11.1,137.0,BPair_2,Backpack A,8,6.0,Yes,results-survey1021.csv,Yes,35 – 44 years old
Female,Salience,32.61,152.0,BPair_2,Backpack A,9,6.0,Yes,results-survey1021.csv,Yes,45 – 54 years old
Female,Salience,73.13,172.0,BPair_2,Backpack A,10,6.0,Yes,results-survey1021.csv,Yes,65 – 74 years old
Female,Salience,34.21,142.0,BPair_2,Backpack B,11,6.0,No,results-survey1021.csv,Yes,35 – 44 years old
Female,Salience,49.37,161.0,BPair_2,Backpack A,12,6.0,Yes,results-survey1021.csv,Yes,55 – 64 years old
Male,Salience,124.13,167.0,BPair_3,Backpack B,9,6.0,No,results-survey1031.csv,Yes,65 – 74 years old
Male,Salience,82.98,133.0,BPair_3,Backpack B,10,6.0,No,results-survey1031.csv,Yes,25 – 34 years old
Female,Salience,130.83,160.0,BPair_3,Backpack B,11,6.0,No,results-survey1031.csv,Yes,55 – 64 years old
Female,Salience,98.01,127.0,BPair_3,Backpack A,12,6.0,Yes,results-survey1031.csv,Yes,25 – 34 years old
Male,Salience,39.3,143.0,BPair_3,Backpack A,14,6.0,Yes,results-survey1031.csv,Yes,35 – 44 years old
Female,Salience,33.23,154.0,BPair_3,Backpack A,9,6.0,No,results-survey1032.csv,Yes,45 – 54 years old
Male,Salience,126.64,138.0,BPair_3,Backpack B,10,6.0,Yes,results-survey1032.csv,Yes,35 – 44 years old
Female,Salience,174.16,133.0,BPair_3,Backpack A,11,6.0,No,results-survey1032.csv,Yes,25 – 34 years old
Female,Salience,159.41,160.0,BPair_3,Backpack A,12,6.0,No,results-survey1032.csv,Yes,55 – 64 years old
Female,Salience,141.94,131.0,BPair_3,Backpack B,13,6.0,Yes,results-survey1032.csv,Yes,25 – 34 years old
Female,Salience,85.08,148.0,BPair_1,Backpack B,9,6.0,No,results-survey1011.csv,Yes,45 – 54 years old
Male,Salience,37.37,153.0,BPair_1,Backpack A,10,6.0,Yes,results-survey1011.csv,Yes,45 – 54 years old
Male,Salience,154.94,159.0,BPair_1,Backpack A,11,6.0,Yes,results-survey1011.csv,Yes,55 – 64 years old
Male,Salience,43.38,165.0,BPair_1,Backpack B,13,6.0,No,results-survey1011.csv,Yes,65 – 74 years old
Male,Salience,17.94,159.0,BPair_1,Backpack A,14,6.0,Yes,results-survey1011.csv,Yes,55 – 64 years old
Male,Salience,32.86,127.0,BPair_1,Backpack A,8,6.0,No,results-survey1012.csv,Yes,25 – 34 years old
Female,Salience,34.82,152.0,BPair_1,Backpack B,10,6.0,Yes,results-survey1012.csv,Yes,45 – 54 years old
Female,Salience,43.52,132.0,BPair_1,Backpack B,11,6.0,Yes,results-survey1012.csv,Yes,25 – 34 years old
Female,Salience,63.07,149.0,BPair_1,Backpack B,12,6.0,Yes,results-survey1012.csv,Yes,45 – 54 years old
Male,Salience,16.99,147.0,BPair_1,Backpack A,14,6.0,No,results-survey1012.csv,Yes,45 – 54 years old
Male,Simplification,97.04,121.0,BPair_2,Backpack B,8,6.0,Yes,results-survey822.csv,Yes,18 – 24 years old
Male,Simplification,85.02,138.0,BPair_2,Backpack A,9,6.0,No,results-survey822.csv,Yes,35 – 44 years old
Female,Simplification,151.56,131.0,BPair_2,Backpack B,10,6.0,Yes,results-survey822.csv,Yes,25 – 34 years old
Male,Simplification,78.59,134.0,BPair_2,Backpack B,11,6.0,Yes,results-survey822.csv,Yes,25 – 34 years old
Male,Simplification,82.89,143.0,BPair_2,Backpack A,12,6.0,No,results-survey822.csv,Yes,35 – 44 years old
Male,Simplification,48.28,136.0,BPair_2,Backpack A,8,6.0,Yes,results-survey821.csv,Yes,35 – 44 years old
Male,Simplification,110.11,134.0,BPair_2,Backpack A,9,6.0,Yes,results-survey821.csv,Yes,25 – 34 years old
Female,Simplification,120.06,149.0,BPair_2,Backpack A,10,6.0,Yes,results-survey821.csv,Yes,45 – 54 years old
Male,Simplification,39.02,133.0,BPair_2,Backpack A,11,6.0,Yes,results-survey821.csv,Yes,25 – 34 years old
Male,Simplification,50.81,149.0,BPair_2,Backpack B,12,6.0,No,results-survey821.csv,Yes,45 – 54 years old
Female,Simplification,55.89,127.0,BPair_3,Backpack B,9,6.0,No,results-survey831.csv,Yes,25 – 34 years old
Female,Simplification,131.59,149.0,BPair_3,Backpack A,11,6.0,Yes,results-survey831.csv,Yes,45 – 54 years old
Female,Simplification,162.0,134.0,BPair_3,Backpack B,12,6.0,No,results-survey831.csv,Yes,25 – 34 years old
Male,Simplification,189.01,127.0,BPair_3,Backpack A,13,6.0,Yes,results-survey831.csv,Yes,25 – 34 years old
Male,Simplification,276.59,152.0,BPair_3,Backpack B,14,6.0,No,results-survey831.csv,Yes,45 – 54 years old
Male,Simplification,26.16,131.0,BPair_3,Backpack B,9,6.0,Yes,results-survey832.csv,Yes,25 – 34 years old
Male,Simplification,55.56,126.0,BPair_3,Backpack A,10,6.0,No,results-survey832.csv,Yes,25 – 34 years old
Male,Simplification,104.82,122.0,BPair_3,Backpack B,11,6.0,Yes,results-survey832.csv,Yes,18 – 24 years old
Female,Simplification,108.69,127.0,BPair_3,Backpack B,13,6.0,Yes,results-survey832.csv,Yes,25 – 34 years old
Male,Simplification,125.26,164.0,BPair_3,Backpack A,15,6.0,No,results-survey832.csv,Yes,55 – 64 years old
Female,Simplification,22.75,172.0,BPair_1,Backpack A,8,6.0,Yes,results-survey811.csv,Yes,65 – 74 years old
Male,Simplification,78.83,142.0,BPair_1,Backpack B,9,6.0,No,results-survey811.csv,Yes,35 – 44 years old
Female,Simplification,63.64,154.0,BPair_1,Backpack A,10,6.0,Yes,results-survey811.csv,Yes,45 – 54 years old
Female,Simplification,51.7,131.0,BPair_1,Backpack A,11,6.0,Yes,results-survey811.csv,Yes,25 – 34 years old
Female,Simplification,195.63,165.0,BPair_1,Backpack A,12,6.0,Yes,results-survey811.csv,Yes,65 – 74 years old
Female,Simplification,49.03,171.0,BPair_1,Backpack B,8,6.0,Yes,results-survey812.csv,Yes,65 – 74 years old
Male,Simplification,25.62,127.0,BPair_1,Backpack B,9,6.0,Yes,results-survey812.csv,Yes,25 – 34 years old
Female,Simplification,20.19,140.0,BPair_1,Backpack B,10,6.0,Yes,results-survey812.csv,Yes,35 – 44 years old
Male,Simplification,23.48,131.0,BPair_1,Backpack B,11,6.0,Yes,results-survey812.csv,Yes,25 – 34 years old
Female,Simplification,249.32,160.0,BPair_1,Backpack A,12,6.0,No,results-survey812.csv,Yes,55 – 64 years old
